UANUM,UANAME,4 Week Rate,Latitude,Longitude
37,"Abbeville, LA",16190.0,29.974444399999996,-92.13416670000001
64,"Abbeville, SC",2625.0,34.17805560000001,-82.3791667
91,"Abbotsford, WI",1852.1428571429,44.946388899999995,-90.3158333
199,"Aberdeen--Bel Air South--Bel Air North, MD",122361.3125,39.519346999999996,-76.185598
118,"Aberdeen, MS",4601.5,33.825,-88.54361109999999
145,"Aberdeen, SD",3082.5,45.464722200000004,-98.48611109999999
172,"Aberdeen, WA",3850.0,46.97555560000001,-123.81444440000001
226,"Abernathy, TX",8853.0,33.832222200000004,-101.8425
253,"Abilene, KS",1126.0,38.9172222,-97.2136111
280,"Abilene, TX",3325.0,32.4486111,-99.7327778
334,"Abingdon, IL",525.0,40.804444399999994,-90.4016667
388,"Ada, OH",1625.0,40.7694444,-83.8227778
415,"Ada, OK",1460.0,34.77444439999999,-96.6780556
450,"Adams, NY",500.0,43.8091667,-76.02444440000001
469,"Adel, GA",7500.0,31.136944399999997,-83.42361109999999
496,"Adel, IA",36386.5625,41.6144444,-94.0172222
550,"Adjuntas, PR",3000.0,18.164722199999996,-66.7225
577,"Adrian, MI",2550.0,41.8975,-84.0372222
631,"Aguadilla--Isabela--San Sebasti�n, PR",4200.0,18.325889,-66.97681899999999
658,"Ahoskie, NC",3112.5,36.286666700000005,-76.985
676,"Air Force Academy, CO",12263.125,38.998357,-104.86175300000001
712,"Ajo, AZ",123595.375,32.3716667,-112.86
739,"Akron, NY",2983.3333333333007,43.0208333,-78.4955556
766,"Akron, OH",3391.5,41.08138889999999,-81.5191667
793,"Alachua, FL",11296.0625,29.751388899999995,-82.425
820,"Alamogordo, NM",3333.3333333333007,32.89944439999999,-105.9597222
847,"Alamosa, CO",1550.0,37.46944439999999,-105.86944440000002
970,"Albany--Schenectady, NY",28526.0,42.8141667,-73.94
901,"Albany, GA",7500.0,31.578333299999997,-84.1558333
921,"Albany, MN",4690.0,45.63,-94.5697222
955,"Albany, OR",2100.0,44.6366667,-123.10472220000001
982,"Albemarle, NC",1350.0,35.35,-80.2002778
1009,"Albert Lea, MN",1388.3333333332998,43.648055600000006,-93.3680556
1036,"Albertville, AL",1600.0,34.2675,-86.2088889
1063,"Albia, IA",3322.7272727273,41.0266667,-92.8055556
1090,"Albion, MI",2466.6666666667,42.243055600000005,-84.7530556
1117,"Albion, NY",2983.3333333333007,43.2463889,-78.1938889
1144,"Albion, PA",6683.333333333299,41.890555600000006,-80.3666667
1171,"Albuquerque, NM",14180.0,35.084444399999995,-106.65055559999999
1198,"Alderson, WV",4766.6666666667,37.7258333,-80.6422222
1225,"Aledo, IL",33565.3333333333,41.199722200000004,-90.7491667
1232,"Aledo, TX",3150.0,32.6958333,-97.60194440000001
1252,"Alexander City, AL",7073.333333333299,32.9438889,-85.95388890000001
