Market Name,4 Week Rate,4 Week TRP,CPP,CPM,Latitude,Longitude
Carbondale IL (CBSA),3060,400,8.5714285714,5.2857142857,37.727273,-89.21675
Carlsbad-Artesia NM (CBSA),1733.3333333333,266.6666666667,7.6666666667,15,32.471881,-104.283697
Casper-Riverton (DMA),5083.3333333333,400,13,10,42.833548,-107.769516
Cedar Rapids IA (CBSA),10918.4615384615,938.4615384615,12.2307692308,5.4615384615,41.97788,-91.665623
Cedar Rapids-Waterloo-Iowa City & Dubuque (DMA),33181.7272727273,854.5454545455,40.8181818182,5.8181818182,42.500558,-90.664572
Cedartown GA (CBSA),1687.5,733.3333333333,2.8333333333,6.6666666667,34.011272,-85.256582
Celina OH (CBSA),1736,440,4.6,11,40.548936,-84.570234
Centralia IL (CBSA),983.3333333333,400,2.6666666667,7,38.528517,-89.131694
Champaign & Springfield-Decatur (DMA),22880,360,67.4,8.4,33.774828,-84.296312
Champaign-Urbana IL (CBSA),2500,200,13,6,40.110588,-88.20727
Charleston WV (CBSA),3214.25,300,11,5,38.34982,-81.632623
Charleston-Huntington (DMA),11379,200,57,5.75,38.412378,-82.427026
Charleston-Mattoon IL (CBSA),2270,360,7.2,11,39.481523,-88.368364
Charlotte-Gastonia-Concord NC-SC (CBSA),77550,840,93.8,5,33.836081,-81.163724
Charlottesville (DMA),8100,360,24.6,13.2,38.029306,-78.476678
Charlottesville VA (CBSA),11150,433.3333333333,27,13,38.029306,-78.476678
Chattanooga TN-GA (CBSA),7438.8888888889,666.6666666667,14,2.8888888889,35.04563,-85.30968
Cheyenne WY  (CBSA),2300,266.6666666667,10.3333333333,10,35.04563,-85.30968
Cheyenne-Scottsbluff (DMA),3375,300,14.5,10.5,41.876312,-103.637984
Chicago,140155.083333333,156.25,233.6666666667,3.1816666667,41.878114,-87.629798
Chicago (DMA),157600,500,326,4.25,41.878114,-87.629798
Chicago-Naperville-Joliet IL-IN-WI (CBSA),153087.5,500,315.375,4.25,43.78444,-88.787868
Chico CA  (CBSA),2121,200,11,6,43.78444,-88.787868
Chico-Redding CA (DMA),6363,400,16,4,39.75718,-121.830196
Chillicothe OH (CBSA),2867.1666666667,433.3333333333,7.3333333333,9.6666666667,39.33312,-82.982402
Cincinnati (DMA),34800,500,72,3.75,39.103118,-84.51202
Cincinnati-Middletown OH-KY-IN (CBSA),27641.25,500,57.625,3.375,39.103118,-84.51202
Clarksburg WV (CBSA),2548,400,6.6666666667,7.1111111111,39.280645,-80.344534
Clarksburg-Weston (DMA),5652.9,380,15.6,5.9,42.706945,-73.204908
Clarksdale MS (CBSA),1267.6666666667,533.3333333333,2.8333333333,12.1666666667,34.200109,-90.570932
Clarksville TN-KY (CBSA),10055.3571428571,685.7142857143,16.4285714286,6.0714285714,36.529771,-87.359453
Clearlake CA (CBSA),3712.3333333333,466.6666666667,10,15,38.958231,-122.626373
Cleveland,110788.5625,156.25,182.25,6.158125,41.49932,-81.694361
Cleveland MS (CBSA),1603.6666666667,366.6666666667,5,11.6666666667,33.744002,-90.724819
Cleveland TN (CBSA),1893.3333333333,400,5,4.3333333333,35.159518,-84.876611
Cleveland-Elyria-Mentor OH (CBSA),32475,300,110,6.5,41.666157,-81.339552
Clinton IA (CBSA),1473.125,525,3.5,6.5,41.844474,-90.188738
Coeur d'Alene ID  (CBSA),4950,533.3333333333,9.6666666667,6.3333333333,41.844474,-90.188738
Coldwater MI (CBSA),1466.6666666667,400,4,6.6666666667,41.940326,-85.000521
College Station-Bryan TX (CBSA),5600,342.8571428571,18.5714285714,7.5714285714,30.596189,-96.295852
Colorado Springs CO (CBSA),13625,528.5714285714,25.7857142857,4.7857142857,38.833882,-104.821363
Colorado Springs-Pueblo (DMA),16070.8333333333,433.3333333333,37.3333333333,4.9166666667,38.242836,-104.698743
Columbia SC (CBSA),20191.0714285714,885.7142857143,23.5,3.6428571429,34.00071,-81.034814
Columbus,42830.25,156.25,70.1875,3.75125,39.961176,-82.998794
Columbus GA (DMA),4773,200,24,5,32.460976,-84.987709
Columbus IN (CBSA),2783.3333333333,266.6666666667,11.3333333333,11.3333333333,39.20144,-85.92138
Columbus MS (CBSA),5096.5,1000,5.625,9.375,33.495674,-88.427263
Columbus NE (CBSA),807.25,500,1.75,5.25,41.430297,-97.35939
Columbus OH  (CBSA),39761.25,300,135.625,8.75,41.430297,-97.35939
Cookeville TN (CBSA),2917.8571428572,785.7142857143,4.4285714286,4,36.162839,-85.501642
Corinth MS (CBSA),2333.3333333333,755.5555555556,3.7777777778,9.8888888889,34.934255,-88.52227
Corpus Christi (DMA),13915.75,833.3333333333,17.5,3.5833333333,27.800583,-97.396381
Corpus Christi TX (CBSA),10655.5384615385,846.1538461538,13.3846153846,3.8461538462,27.800583,-97.396381
Coshocton OH (CBSA),2395,700,3.5,9,40.272015,-81.859576
Crawfordsville IN (CBSA),500,400,1,4,40.041154,-86.874452
Crestview-Fort Walton Beach-Destin FL (CBSA),8852.2222222222,933.3333333333,9.6666666667,4.5555555556,30.393534,-86.495783
Crossville TN (CBSA),1860,840,2.6,3.6,35.948957,-85.026901
Cullman AL (CBSA),3980,960,4.6,5.8,34.174821,-86.843612
Cumberland MD-WV (CBSA),7803.6,1200,6.6,7,39.652865,-78.762518
Dallas,78975,145.8333333333,136.9444444444,2.5005555556,32.776664,-96.796988
Dallas-Fort Worth-Arlington TX (CBSA),50775,400,155.5,3,32.743344,-97.026241
Dalton GA (CBSA),3184.6153846154,723.0769230769,5.3076923077,3.5384615385,34.769802,-84.970223
Danville IL (CBSA),1255.5555555556,511.1111111111,3,3.4444444444,40.124481,-87.630021
Danville KY (CBSA),2025,300,7,11,37.645633,-84.77217
Danville VA (CBSA),2500,200,13,10,36.585972,-79.395023
Daphne-Fairhope AL (CBSA),7688.3333333333,911.1111111111,9,5.5555555556,30.603833,-87.866136
Davenport-Moline-Rock Island IA-IL (CBSA),22575.0625,1000,23.0625,7.5,41.519018,-90.542196
Davenport-Rock Island-Moline (DMA),37201,800,50.375,8.125,41.519018,-90.542196
Dayton (DMA),44208.3333333333,1111.1111111111,42.2222222222,4.3333333333,39.758948,-84.191607
Dayton OH (CBSA),23460.7142857143,942.8571428571,29,4.1428571429,39.758948,-84.191607
De Ridder LA (CBSA),1438.75,1000,1.625,4.5,30.846306,-93.289053
Decatur AL (CBSA),5936.3636363636,818.1818181818,7.4545454545,5.4545454545,34.605925,-86.983342
Decatur IL (CBSA),4195.4545454546,636.3636363636,8,7,39.840315,-88.9548
Deltona-Daytona Beach-Ormond Beach FL (CBSA),18000,720,25.8,5,29.285813,-81.055889
Deming NM (CBSA),2550,1100,2.5,11,32.268698,-107.75864
Des Moines,36386.5625,156.25,59.5625,6.965,41.600545,-93.609106
Detroit (DMA),77750,650,126,3.25,42.331427,-83.045754
Detroit-Warren-Livonia MI (CBSA),68100,650,109.5,3.25,42.341216,-83.282919
Dothan (DMA),17884,500,36.125,17,31.223231,-85.390489
Dothan AL (CBSA),6312,600,11,8,31.223231,-85.390489
DuBois PA (CBSA),9175.8333333333,866.6666666667,10.8333333333,14,41.121012,-78.758326
Dubuque IA (CBSA),4579.4117647059,800,6.2352941176,6.7647058824,42.500558,-90.664572
Duluth MN-WI (CBSA),7824.2857142857,600,13.4285714286,5.5,46.786672,-92.100485
Duluth-Superior (DMA),9873.3333333333,480,21.1333333333,5.8666666667,47.723087,-86.940716
Dumas TX  (CBSA),991.25,400,2.5,11.75,47.723087,-86.940716
Durham NC (CBSA),17940,400,45.6666666667,10.3333333333,35.994033,-78.898619
Effingham IL (CBSA),1550,266.6666666667,7,13,39.120042,-88.543383
El Campo TX (CBSA),1691.6666666667,444.4444444444,4.1111111111,10.2222222222,29.19664,-96.269687
El Centro CA (CBSA),8022.7272727273,581.8181818182,14.9090909091,9.3636363636,32.792,-115.563051
El Dorado AR (CBSA),1828,600,3,8,33.20763,-92.666267
El Paso,10637.4166666667,156.25,17.2916666667,2.32,31.777576,-106.442456
El Paso (Las Cruces) (DMA),10600,566.6666666667,21.6666666667,2.6666666667,31.777576,-106.442456
El Paso TX (CBSA),20832,1040,22.6,3,31.777576,-106.442456
Elizabeth City NC (CBSA),2793.75,750,3.875,6.625,36.294601,-76.251046
Elk City OK (CBSA),600,200,3,9.5,35.411994,-99.404259
Elkhart-Goshen IN (CBSA),2700,300,10,4,41.582272,-85.834438
Elkins WV (CBSA),2836.25,950,3.8333333333,11.25,38.92594,-79.846735
Elko NV (CBSA),840,200,4,7,40.832421,-115.763123
Emporia KS (CBSA),1126,466.6666666667,2.6666666667,6,38.403903,-96.181663
Erie (DMA),26935,720,38.8,11.8,42.129224,-80.085059
Erie PA (CBSA),20383.3333333333,633.3333333333,34,14.5,42.129224,-80.085059
Escanaba MI (CBSA),1540,660,2.6,6.3,45.745247,-87.06458
Evanston WY (CBSA),683.3333333333,200,3.3333333333,17.6666666667,41.268279,-110.963237
Evansville (DMA),28296.6315789474,1031.5789473684,30.3684210526,5.1052631579,37.971559,-87.57109
Evansville IN-KY (CBSA),14847.1904761905,1000,16.1428571429,5.1904761905,37.971559,-87.57109
Fairmont WV (CBSA),2389.7777777778,422.2222222222,5.7777777778,8.5555555556,39.485085,-80.142578
Fargo ND-MN (CBSA),3533.3333333333,266.6666666667,12.6666666667,6.3333333333,46.877186,-96.789803
Fargo-Valley City (DMA),8966.6666666667,266.6666666667,34.6666666667,6.6666666667,40.717624,-111.930055
Farmington MO (CBSA),3113.3333333333,760,4.7333333333,6.6,37.780885,-90.421789
Farmington NM (CBSA),2750,775,3.625,3.375,36.728058,-108.218686
Fayetteville NC (CBSA),5247.2222222222,555.5555555556,11.2222222222,3.4444444444,35.052664,-78.878358
Fayetteville-Springdale-Rogers AR-MO (CBSA),8337.5,200,41.5,10.5,37.964253,-91.831833
Findlay OH (CBSA),1600,485.7142857143,4,4.1428571429,41.04422,-83.649932
Flint MI (CBSA),7500,400,19,5,43.012527,-83.687456
Flint-Saginaw-Bay City (DMA),25870,500,53.5,5.8333333333,43.594468,-83.888865
Florence SC (CBSA),966.6666666667,300,3.6666666667,1.3333333333,34.195433,-79.762562
Florence-Muscle Shoals AL (CBSA),7433.3333333333,822.2222222222,9.8888888889,6.8888888889,34.814856,-87.642664
Fond du Lac WI  (CBSA),1850,433.3333333333,4.6666666667,4.5,34.814856,-87.642664
Forest City NC (CBSA),1400,400,4,6,35.334011,-81.865103
Fort Collins-Loveland CO  (CBSA),3712.5,300,13,4,35.334011,-81.865103
Fort Dodge IA  (CBSA),800,400,2,6,40.447631,-105.010887
Fort Leonard Wood MO (CBSA),950,742.8571428571,1.4285714286,3.1428571429,37.725232,-92.164672
Fort Madison-Keokuk IA-MO (CBSA),1875,200,9.5,17.5,37.964253,-91.831833
Fort Myers-Naples (DMA),26070,620,47,4.4,26.516733,-81.564805
Fort Polk South LA (CBSA),1000,200,5,6,31.056712,-93.213123
Fort Smith AR-OK  (CBSA),2100,200,11,4,31.056712,-93.213123
Fort Wayne (DMA),12500,300,44,7.5,41.079273,-85.139351
Fort Wayne IN (CBSA),6750,300,24.5,5.5,41.079273,-85.139351
Frankfort KY (CBSA),2762.5,500,6.25,7.25,38.200906,-84.873284
Fredericksburg TX (CBSA),2400,200,12,36,30.275201,-98.871984
Fremont NE (CBSA),1482.75,650,2.5,6.75,41.433391,-96.498147
Fremont OH (CBSA),1416,440,3.6,5,41.35033,-83.121863
Fresno CA (CBSA),32460.75,700,54,7.5,36.746842,-119.772587
Fresno-Visalia (DMA),41198,500,83.25,5.5,36.292365,-119.210492
Ft. Smith,20325.1875,156.25,33.375,5.405625,35.385924,-94.398547
Gadsden AL (CBSA),5721.6363636364,854.5454545455,6.9090909091,6.2727272727,34.014264,-86.006639
Gainesville,11296.0625,156.25,18.5,6.889375,29.651634,-82.324826
Gainesville (DMA),7900,300,27,9.5,29.651634,-82.324826
Gainesville FL (CBSA),2600,300,9.5,3,29.651634,-82.324826
Gainesville GA (CBSA),3625,500,8.25,4.5,34.297879,-83.824066
Galesburg IL (CBSA),525,200,3,4,40.947816,-90.371239
Gallup NM (CBSA),2560,880,3.4,5,35.528078,-108.742584
Gettysburg PA (CBSA),5187,560,9.2,10.2,39.830929,-77.231095
Gillette WY (CBSA),1150,200,5.6666666667,10.3333333333,44.291092,-105.502221
Glasgow KY (CBSA),750,200,4,6,36.995884,-85.911921
Glendive MT (DMA),591.6666666667,200,3,27,47.106401,-104.710793
Glens Falls NY (CBSA),3450,300,12.5,10.5,43.309516,-73.644006
Goldsboro NC (CBSA),3602.5,750,5,4.125,35.384884,-77.992765
Grand Island NE (CBSA),3222.25,1000,3.25,5,40.926396,-98.342012
Grand Rapids-Kalmazoo-Battle Creek (DMA),34342.8571428571,471.4285714286,76.4285714286,4.8571428571,42.321152,-85.179714
Grand Rapids-Wyoming MI (CBSA),18370,440,45,5.2,42.883043,-85.72166
Grants NM (CBSA),2200,800,3,11.75,35.14726,-107.851447
Great Falls MT (CBSA),2031.25,550,4.75,6,47.494184,-111.283345
Greeley CO (CBSA),4550,200,23,8.5,40.423314,-104.709132
Green Bay WI (CBSA),5908.3333333333,500,12.8333333333,4.3333333333,44.519159,-88.019826
Greeneville TN (CBSA),1298.1428571429,342.8571428571,4,5.4285714286,36.163157,-82.830986
Greensboro-High Point NC (CBSA),13600,840,19.8,3,36.006141,-79.943753
Greensboro-High Point-Winston-Salem (DMA),35100,766.6666666667,54.3333333333,3.8333333333,36.09986,-80.244216
Greensburg IN (CBSA),1434.2857142857,457.1428571429,3.4285714286,11.7142857143,39.337272,-85.483581
Greenville MS (CBSA),3030.2222222222,688.8888888889,5.5555555556,9.8888888889,33.399661,-91.037703
Greenville NC (CBSA),8460.6666666667,500,16.5,9.3333333333,35.612661,-77.366354
Greenville OH (CBSA),4158.3333333333,800,5.6666666667,12.3333333333,40.102826,-84.633012
Greenville-New Bern-Washington (DMA),26166.4,720,36.4,5.6,35.552304,-77.066181
Greenwood MS (CBSA),1946.25,425,5.125,11.5,33.516232,-90.179528
Grenada MS (CBSA),1602.75,400,4.25,17,33.769005,-89.808419
Guymon OK  (CBSA),1410,360,4.4,22,30.41338,-89.072958
Hagerstown-Martinsburg MD-WV (CBSA),13493.4285714286,914.2857142857,14.7142857143,6.2857142857,38.597626,-80.454903
Hammond LA (CBSA),2221.7857142857,528.5714285714,4.7142857143,3.7857142857,30.504358,-90.4612
Hanford-Corcoran CA (CBSA),6351.75,700,10,7.75,36.098007,-119.560402
Hannibal MO (CBSA),3012.5,1000,3.25,9.0833333333,39.708379,-91.358482
Harrisburg-Carlisle PA (CBSA),8631.8181818182,545.4545454545,18.5454545455,3.8181818182,40.242763,-76.837283
Harrisonburg VA (CBSA),2812.5,300,10.25,6.25,38.449569,-78.868916
Hartford-New Haven (DMA),65533.2142857143,542.8571428571,127.7142857143,5.7142857143,38.971262,-81.982031
Hartford-West Hartford-East Hartford CT (CBSA),32336.3333333333,533.3333333333,65.8666666667,6.2666666667,41.795512,-72.713134
Hastings NE (CBSA),2013.25,1000,2.25,6,40.586258,-98.389873
Hattiesburg MS (CBSA),3735,630.7692307692,7.6153846154,5.6153846154,31.327119,-89.290339
Hays KS  (CBSA),500,200,3,7,31.468239,-89.335421
Helena (DMA),1100,320,3.6,5,46.588371,-112.024505
Helena MT (CBSA),1580,440,4.4,6.6,46.588371,-112.024505
Helena-West Helena AR (CBSA),1539.75,450,4,16.25,34.5291,-90.59
Henderson NC (CBSA),3000,500,6,12,36.329591,-78.399164
Hereford TX  (CBSA),944,480,2,12.2,36.329591,-78.399164
Hickory-Lenoir-Morganton NC (CBSA),8875,800,11.3333333333,3.5,35.745407,-81.684819
Hilton Head Island-Beaufort SC (CBSA),4800,200,24,12,32.216316,-80.752608
Hinesville-Fort Stewart GA (CBSA),1375,300,5,5.75,31.845702,-81.573434
Hobbs NM (CBSA),2800,650,5,9.25,32.702612,-103.13604
Holland MI (CBSA),3020,280,11.8,11,42.787524,-86.10893
Homosassa Springs FL (CBSA),3300,400,8.8333333333,6.5,28.803706,-82.576137
Hot Springs AR (CBSA),1633.3333333333,700,2.5,3,34.5037,-93.05518
Houghton MI (CBSA),2956.25,700,4.5,12.625,47.121133,-88.569418
Houma-Bayou Cane-Thibodaux LA (CBSA),4204.25,1100,3.975,2.25,29.795763,-90.822871
Houston,69809.7222222222,145.8333333333,125.9444444444,2.5772222222,29.760427,-95.369803
Huntingdon PA (CBSA),3200.125,1000,3.375,8,40.484796,-78.010281
Huntington IN (CBSA),850,200,4,10,40.883101,-85.497476
Huntington-Ashland WV-KY-OH (CBSA),4532,240,19.8,5.8,40.417287,-82.907123
Huntsville AL (CBSA),12718.5714285714,714.2857142857,19.2857142857,4.7142857143,34.730369,-86.586104
Huntsville TX (CBSA),2275,300,8.25,7.25,30.723526,-95.550777
Huron SD (CBSA),1977.5,500,4.5,22.25,44.363317,-98.214257
Hutchinson MN (CBSA),1190,300,4,11,44.892548,-94.369293
Idaho Falls ID (CBSA),2270,350,7,5.5,43.491651,-112.033965
Indiana PA (CBSA),9100,833.3333333333,12,16,40.621455,-79.152535
Indianapolis,45355,143.4210526316,79.2631578947,3.5426315789,39.768403,-86.158068
Indianapolis (DMA),45229,360,133.4,5.8,39.768403,-86.158068
Indianapolis-Carmel IN (CBSA),30100,500,63.75,4.25,39.962126,-86.119424
Indianola MS (CBSA),1355.5,350,4.25,11.25,33.450951,-90.655092
Ionia MI (CBSA),1864.2857142857,314.2857142857,6.7142857143,9.1428571429,42.987255,-85.071117
Iowa City IA (CBSA),2612.5,300,9,6,41.661128,-91.530168
Iron Mountain MI-WI (CBSA),1492.8571428572,685.7142857143,2.5714285714,7,45.820233,-88.06596
Jackson MI (CBSA),2466.6666666667,400,7,3.6666666667,42.245869,-84.401346
Jackson MS (CBSA),15752.7777777778,911.1111111111,17.8888888889,4,32.298757,-90.18481
Jackson OH (CBSA),739,266.6666666667,3.3333333333,7,39.052017,-82.636554
Jackson TN (DMA),2950,300,10.5,5,35.614517,-88.813947
Jacksonville,25723.125,156.25,42.125,3.04,30.332184,-81.655651
Jacksonville (DMA),20550,200,103,7,30.332184,-81.655651
Jacksonville FL (CBSA),20450,300,70.5,5.5,30.332184,-81.655651
Jacksonville IL (CBSA),1987.5,400,6.75,13.75,39.733936,-90.22901
Jacksonville NC  (CBSA),3000,300,10.5,5.5,39.733936,-90.22901
Jacksonville TX (CBSA),1389.2857142857,771.4285714286,2.2857142857,3.8571428571,31.963778,-95.270504
Janesville WI (CBSA),1690.8333333333,416.6666666667,4.5,2.9166666667,42.682789,-89.018722
Jasper IN (CBSA),3177.375,650,5.875,10.375,38.391442,-86.931109
Jefferson City MO (CBSA),7360,720,11,7.9,38.576702,-92.173516
Jefferson GA (CBSA),1000,200,5,4,34.117054,-83.572388
Johnson City TN (CBSA),2597.1538461539,384.6153846154,7.7692307692,4,36.31344,-82.353473
Johnstown PA (CBSA),10485.0769230769,753.8461538462,17.1538461538,13.0769230769,40.326741,-78.92197
Johnstown-Altoona (DMA),50142.3636363636,818.1818181818,62,10.0909090909,40.355568,-78.516433
Jonesboro (DMA),5313.3333333333,911.1111111111,6.1111111111,3.4444444444,35.842297,-90.704279
Jonesboro AR (CBSA),2937.2222222222,911.1111111111,3.6666666667,3.3333333333,35.842297,-90.704279
Joplin MO (CBSA),5717.2608695652,852.1739130435,7.3043478261,5.0434782609,37.084227,-94.513281
